location,height,shoulder,waist,hip,gender,type,code,name,color,description,search,sizing,quantity,satisfaction,price,profit,review,buy
somerset,154.47,0,15.9,20.4,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,brown,"Polyester, Fake Pockets, Non-Stretchable",,m,2,5,30.9,61.8,Comfy and cute pants,yes
somerset,174.17,19.9,0,0,male,top,top183,PIERRE LONG SLEEVED BUTTON SHIRT,white,"Polyester, Functional buttons, Functional wrist buttons",,l,0,3,35.9,0,Gorgeous but very small across back!,yes
bugis,166.3,0,13.8,19.6,female,bottom,bottom183,PORTER CARGO JOGGER PANTS,moss,"Slight Stretch, Elastic waistband, Elastic band at leg opening, Functional pockets",,m,1,3,30.9,30.9,"Runs small, too much distressing",yes
somerset,172.54,0,12.4,18.7,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,beige,"Soft knit, Stretchable, Functional buttons",,s,1,1,30.9,30.9,Super comfy a tad long,yes
bugis,148.22,0,12,18.8,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,1,4,30.9,30.9,"Love, love, love!",yes
club street,174.36,16.8,14.3,18.7,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,brown,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,3,33.9,0,Fun summer dress,no
somerset,154.35,14.4,0,0,female,top,top183,ADORA BASIC PADDED CROP TOP,blue,"Polyester, Fully lined bodice, Slight stretch, Exposed back zipper, Removable padding",pad,s,1,5,30.9,30.9,Flowy perfection!,yes
club street,165.78,14.3,12.9,17.6,female,dress,dress183,BRIELLE BUTTON RIBBED DRESS,grey,"Cotton rib, None, Non sheer,  Stretchable, Functional buttons",,s,0,3,32.9,0,Closet staple,no
bugis,170.48,14,0,0,female,top,top183,LINDSAY HALTER SHEER SLEEVE TOP,maroon,"Polyester blend, Fully lined bodice, Non sheer, Stretchable, Sheer sleeve, Elastic arm band, Concealed back zipper",,s,0,1,34.9,0,Classic anrtho,no
somerset,165.6,18.1,0,0,male,top,top183,CODY SHORT SLEEVED SHIRT,gunmental,"Polyester, Functional buttons, Functional wrist buttons",,m,0,2,33.9,0,"Runs large, bohemian",no
bugis,151.29,0,15.2,20.4,male,bottom,bottom183,THOMAS DENIM BASIC BERMS,beige,"Polyester, Fake Pockets, Non-Stretchable",,m,0,5,30.9,0,Great fit but not for a 45 year old,yes
somerset,151.19,0,12.3,18.6,female,bottom,bottom183,ADORA BUTTON SLIT SKORTS,blush,"Soft knit, Stretchable, Functional buttons",,s,0,5,30.9,0,Runs small,no
somerset,171.32,18.6,0,0,male,top,top183,ELLIOT JERSEY OVERSIZED TEE,beige,"Cotton jersey, Non Sheer, Slight Stretch",,m,3,5,30.9,92.7,Bright and airy!,yes
bugis,164.36,17.3,14.6,19.3,female,dress,dress183,AMABEL RUCHED BUTTON SHIRT DRESS,black,"Polyester, Fully lined, Non sheer, Slight stretch, Concealed back zipper, Functional buttons, Ruched details",,m,0,2,33.9,0,Fantastic dress,yes
somerset,179.62,14.7,13.6,17.6,female,dress,dress183,ORIANA TOGA RIBBED DRESS,gunmetal,"Cotton rib, Side Slit Detail",,s,0,5,30.9,0,Super cute .... but,no
